time                     , close, cash              , sol               , equity            , signal, reason                                              , peak              , drawdown
2026-03-29 07:00:00+00:00, 82.41, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 08:00:00+00:00, 82.41, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 09:00:00+00:00, 82.28, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 10:00:00+00:00, 82.07, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 11:00:00+00:00, 82.52, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 12:00:00+00:00, 82.39, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 13:00:00+00:00, 81.85, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 14:00:00+00:00, 81.87, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 15:00:00+00:00, 81.75, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 16:00:00+00:00, 81.65, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 17:00:00+00:00, 81.5 , 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 18:00:00+00:00, 81.73, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 19:00:00+00:00, 81.56, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 20:00:00+00:00, 81.85, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 21:00:00+00:00, 82.09, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 22:00:00+00:00, 80.83, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-29 23:00:00+00:00, 81.34, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 00:00:00+00:00, 81.84, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 01:00:00+00:00, 82.62, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 02:00:00+00:00, 83.29, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 03:00:00+00:00, 83.2 , 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
2026-03-30 04:00:00+00:00, 83.75, 200.0             , 0.0               , 200.0             , HOLD  , No entry setup                                      , 200.0             , 0.0
